devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	TP-Link	Archer C9	v1	Broadcom BCM4709	2	1000	16	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.3 A
WiFi Router	TP-Link	Archer A5	v5	MediaTek MT7628A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	-	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer A7	v5	Qualcomm Atheros QCA9563	1	750	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	Archer C20i AC750	v1	MediaTek MT7620A	1	580	8	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C25	v1	Qualcomm Atheros QCA9561	1	775	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	Archer C2 AC750	v1	MediaTek MT7620A	1	580	8	64	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	Archer C59	v1	Qualcomm Atheros QCA9561	1	775	16	128	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C59	v2	Qualcomm Atheros QCA9561	1	775	16	128	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C5	v4	MediaTek MT7620A	1	580	8	64	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C60	v1	Qualcomm Atheros QCA9561	1	775	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C60	v2	Qualcomm Atheros QCA9561	1	775	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C60	v3	Qualcomm Atheros QCA9561	1	775	8	64	5	-	b/g/n	a/n/ac	-	-	-	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C6	v2 (EU	Qualcomm Atheros QCA9563	1	775	8	128	-	5	b/g/n	a/n/ac	-	-	No	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C6	v2 (US)	Qualcomm Atheros QCA9563	1	775	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C7 AC1750	v2.1	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	TP-Link	Archer C7 AC1750	v1.1	Qualcomm Atheros QCA9558	1	720	8	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	TP-Link	Archer C7 AC1750	v4	Qualcomm Atheros QCA9563	1	775	16	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	TP-Link	Archer C7 AC1750	v5	Qualcomm Atheros QCA9563	1	750	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	Archer C7 AC1750	v3	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	TP-Link	Archer D7 / D7b	v1	Qualcomm Atheros QCA9558	1	775	16	128	-	4	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	TP-Link	Archer MR200	v1	MediaTek MT7620A	1	580	8	64	4	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi AP	TP-Link	CPE210	v2	Qualcomm Atheros QCA9533	1	650	8	64	1	-	b/g/n	-	-	-	Yes	Passive PoE 16-27 VDC, 0.6 A
WiFi Router	TP-Link	CPE210	v1	Atheros AR9344 rev 2	1	560	8	64	2	-	b/g/n	-	-	-	Yes	Passive PoE 24 VDC, 1.0 A
WiFi AP	TP-Link	CPE220	v1	Qualcomm Atheros QCA95xx	1	560	8	64	2	-	b/g/n	-	-	-	-	Passive PoE 16-27 VDC, 0.5 A
WiFi AP	TP-Link	CPE210	v3	Qualcomm Atheros QCA9533	1	650	8	64	1	-	b/g/n	-	-	-	-	16-27 VDC, passive PoE
WiFi Router	TP-Link	CPE510	v1	Atheros AR9350-BC2B	1	560	8	64	2	-	-	a/n	-	-	Yes	16-27 VDC, passive PoE
WiFi Router	TP-Link	CPE510	v2	Atheros AR9350	1	560	8	64	1	-	-	a/n	-	-	Yes	16-27 VDC, passive PoE
WiFi Router	TP-Link	CPE510	v3	Atheros AR9350	1	560	8	64	1	-	-	a/n	-	-	Yes	16-27 VDC, passive PoE
WiFi AP	TP-Link	CPE610	v1	Atheros AR9350	1	560	8	64	1	-	-	a/n	-	-	-	Passive PoE 24 VDC, 0.5 A
WiFi AP	TP-Link	CPE610	v2	Atheros AR9344	1	560	8	64	1	-	-	a/n	-	-	-	Passive PoE 24 VDC, 0.5 A
WiFi AP	TP-Link	EAP225-Outdoor	v1	Qualcomm Atheros QCA9563	1	750	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	24V passive PoE, 802.3af/at PoE
Range Extender	TP-Link	RE200	v1	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	RE200	v2	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	-
Range Extender	TP-Link	RE200	v3	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50/60 Hz, 0.3 A
Range Extender	TP-Link	RE200	v4	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50/60 Hz, 0.3 A
Range Extender	TP-Link	RE450	v1	Qualcomm Atheros QCA9558	1	720	8	128	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	RE450	v2	Qualcomm Atheros QCA9563	1	775	8	64	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	RE450	v3	Qualcomm Atheros QCA9563	1	775	8	64	-	1	b/g/n	a/n/ac	-	-	-	-
WiFi Router	TP-Link	TD-W8960N	v1	Broadcom BCM6358	2	300	4	32	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TD-W8960N	v3	Broadcom BCM6318	1	333	8	64	4	-	b/g/n	-	-	-	-	12 VDC, 1.0 A
WiFi Router	TP-Link	TD-W8960N	v4	Broadcom BCM6328	1	320	8	64	4	-	b/g/n	-	-	Mod	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TD-W8970	v1.2	Lantiq XWAY VRX268	2	500	8	64	-	4	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TD-W8980	v1	Lantiq XWAY VRX268	2	500	8	64	-	4	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TD-W9980	NULL	Lantiq XWAY VRX268	2	500	8	64	-	4	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A
Travel Router - Battery powered	TP-Link	TL-MR10U	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x -USB (charging)	Yes	5 VDC (-USB), 2600 mAh battery
Travel Router - Battery powered	TP-Link	TL-MR11U	v2	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x -USB (charging)	Yes	5 VDC (-USB), 2000 mAh battery
Travel Router - Battery powered	TP-Link	TL-MR11U	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x -USB (charging)	Yes	5 VDC (-USB), 2000 mAh battery
Travel Router - Battery powered	TP-Link	TL-MR12U	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x -USB (charging)	Yes	5 VDC (-USB), 5200 mAh battery
Travel Router - Battery powered	TP-Link	TL-MR13U	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x Power only	Yes	5 VDC, 1.0 A (-USB), 10400 mAh battery
Travel Router	TP-Link	TL-MR3020	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x mini-USB (power)	Yes	5 VDC, 1.0 A (mini-USB)
Travel Router	TP-Link	TL-MR3020	v3	MediaTek MT7628NN	1	575	8	64	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 1.0 A
Travel Router - Battery powered	TP-Link	TL-MR3040	v2	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x 2.0	-	5 VDC, 1.0 A, 2000 mAh battery
Travel Router - Battery powered	TP-Link	TL-MR3040	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 1.0 A, 2000 mAh battery
WiFi Router	TP-Link	TL-MR3220	v2	Atheros AR9331	1	400	4	32	5	-	b/g/n	-	-	1x 2.0	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-MR3220	v1	Atheros AR7241	1	400	4	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-MR3420	v1.3	Atheros AR7241	1	400	4	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-MR3420	v2.4	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-MR3420	v3	Qualcomm Atheros QCA9531	1	650	4	32	5	-	b/g/n	-	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-MR6400	v1	Qualcomm Atheros QCA9531	1	650	8	64	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-MR6400	v4	MediaTek MT7628N	1	580	8	64	4	-	b/g/n	-	-	-	Yes	9 VDC, 0.85A
WiFi Router	TP-Link	TL-MR6400	v5	MediaTek MT7628N	1	580	8	64	4	-	b/g/n	-	-	-	Yes	9 VDC, 0.85A
WiFi Router	TP-Link	TL-WA5210G	v1	Atheros AR2315	1	180	4	16	1	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi AP	TP-Link	TL-WA701ND	v1.x	Atheros AR7240	1	400	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A, PoE
WiFi Router	TP-Link	TL-WA701ND	v2.x	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A, PoE
Range Extender	TP-Link	TL-WA730RE	v1	Atheros AR7240	1	350	4	32	1	-	b/g/n	-	-	-	-	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WA7510N	v1	Atheros AR7240	1	350	4	32	1	-	-	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi AP	TP-Link	TL-WA801ND	v2	Atheros AR9341 rev 3	1	535	4	32	1	-	b/g/n	-	-	-	-	9 VDC, 0.85 A, passive PoE
WiFi AP	TP-Link	TL-WA801ND	v3	Qualcomm Atheros QCA9533-BL3A	1	560	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A, PoE
WiFi AP	TP-Link	TL-WA801ND	v1	Atheros AR7240	1	400	4	32	1	-	b/g/n	-	-	-	-	12 VDC, 1.0 A
WiFi AP	TP-Link	TL-WA801ND	v5	MediaTek MT7628NN	1	580	8	64	1	-	b/g/n	-	-	-	-	9 VDC, 0.6 A, passive PoE
WiFi AP	TP-Link	TL-WA801ND	v4	Qualcomm Atheros QCA9533	1	650	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A, passive PoE
Range Extender	TP-Link	TL-WA830RE	v1	Atheros AR7240	1	400	4	32	1	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
Range Extender	TP-Link	TL-WA830RE	v2	Atheros AR9341	1	535	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
Range Extender	TP-Link	TL-WA850RE	v1	Atheros AR9341	1	535	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	TL-WA750RE	v1	Atheros AR9341	1	500	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	TL-WA860RE	v1 (EU)	Atheros AR9341	1	535	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 0.3 A
Range Extender	TP-Link	TL-WA850RE	v2	Qualcomm Atheros QCA9533	1	550	4	32	1	-	b/g/n	-	-	-	Yes	100-240 VAC, 50-60 Hz, 0.3 A
WiFi Router	TP-Link	TL-WA901ND	v4	Qualcomm Atheros TP9343	1	750	4	32	1	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A, PoE
WiFi AP	TP-Link	TL-WA901ND	v1	Atheros AR7240	1	400	4	32	1	-	b/g/n	-	-	-	Yes	-
WiFi AP	TP-Link	TL-WA901ND	v2	Atheros AR9132	1	400	4	32	1	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi AP	TP-Link	TL-WA901ND	v3	Atheros AR9341	1	533	4	32	1	-	b/g/n	-	-	-	Yes	9 VDC, 0.85 A, PoE
WiFi Router	TP-Link	TL-WA901ND	v5	Qualcomm Atheros TP9343	1	750	4	32	1	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A, PoE
WiFi Router	TP-Link	TL-WDR3320	v2	Atheros AR9344	1	560	4	64	5	-	b/g/n	a/n	-	-	-	-
WiFi Router	TP-Link	TL-WDR3500	v1	Atheros AR9344	1	560	8	128	5	-	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WDR3600	1.5	Atheros AR9344	1	560	8	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WDR4300	1.7	Atheros AR9344	1	560	8	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WDR4310	v1.0	Atheros AR9344	1	560	8	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WDR4900	1.3	Freescale P1014	1	800	16	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	TP-Link	TL-WDR4900	2.0 (CN)	Qualcomm Atheros QCA9558	1	720	8	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.5 A / 2.5 A
WiFi Router	TP-Link	TL-WR1041N	v2	Atheros AR9342	1	560	4	32	-	5	b/g/n	-	-	1x 2.0	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR1041ND	v2	Atheros AR9342	1	525	4	32	-	5	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	TP-Link	TL-WR1043ND	v2.x	Qualcomm Atheros QCA9558	1	720	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WR1043ND	v3.x	Qualcomm Atheros QCA9558	1	720	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WR1043ND	v4.x	Qualcomm Atheros QCA9563	1	750	16	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WR1043ND	v1.x	Atheros AR9132	1	400	8	32	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	TP-Link	TL-WR1043N	v5	Qualcomm Atheros QCA9563	1	775	16	64	-	5	b/g/n	-	-	-	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR2543ND	v1.2	Atheros AR7242	1	400	8	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.5 A
Travel Router	TP-Link	TL-WR703N	v1	Atheros AR9331	1	400	4	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 1.0 A
Travel Router	TP-Link	TL-WR710N	v1.2 (EU)	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz
WiFi Router	TP-Link	TL-WR710N	v2.0 (EU)	Atheros AR9331	1	400	4	32	2	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.3 A
WiFi Router	TP-Link	TL-WR710N	v2.1 (EU)	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.3 A
WiFi Router	TP-Link	TL-WR710N	v1.0 (US)	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	-	-
Travel Router	TP-Link	TL-WR710N	v1.1 (EU)	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.3 A
Travel Router	TP-Link	TL-WR720N	v3 (CN)	Atheros AR9331	1	400	4	32	2	-	b/g/n	-	-	1x 2.0	Yes	-
Travel Router	TP-Link	TL-WR720N	v4 (CN)	Atheros AR9331	1	400	4	32	2	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	TP-Link	TL-WR740N	v4.28	Atheros AR9331	1	400	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR740N	v5.1 (UA)	Atheros AR9331-AL3A	1	400	4	32	5	-	b/g/n	-	-	-	Yes	-
WiFi Router	TP-Link	TL-WR740N	v5 (EU)	Atheros AR9331	1	400	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR740N	v6	Qualcomm Atheros QCA9533	1	560	4	32	5	-	b/g/n	-	-	-	-	5 VDC
WiFi Router	TP-Link	TL-WR740N	v1	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	-	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR740N	v3	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	-
WiFi Router	TP-Link	TL-WR740N	v4.24	Atheros AR9330 rev 1	1	400	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR740N	v2.1 (BR)	Atheros AR7240	1	400	2	32	5	-	b/g/n	-	-	-	-	-
WiFi Router	TP-Link	TL-WR741ND	1.8	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	Mod	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR741ND	3	Atheros AR7240	1	350	4	32	5	-	b/g/n	-	-	Mod	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR741ND	v5	Atheros AR9331	1	400	4	32	5	-	b/g/n	-	-	-	Yes	-
WiFi Router	TP-Link	TL-WR741ND	v2	Atheros AR7240 rev 2	1	350	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR741ND	v4.x	Atheros AR9331	1	400	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR743ND	v2	Atheros AR7240	1	350	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR743ND	v1.1	Atheros AR7240	1	350	4	32	5	-	b/g/n	-	-	Mod	Yes	9 VDC, 0.85 A
Travel Router	TP-Link	TL-WR802N	v1	Qualcomm Atheros QCA9533-AL3A	1	550	4	32	1	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC, 0.55 A
Travel Router	TP-Link	TL-WR802N	v4	MediaTek MT7628N	1	580	8	64	1	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A (-USB)
Travel Router	TP-Link	TL-WR810N	v1.1 (EU)	Qualcomm Atheros QCA9531	1	650	8	64	2	-	b/g/n	-	-	1x 2.0	Yes	230 VAC
Travel Router	TP-Link	TL-WR810N	v1.0 (US)	Qualcomm Atheros QCA9531	1	650	8	64	2	-	b/g/n	-	-	1x 2.0	Yes	100-240 VAC, 50/60 Hz, 0.3 A
WiFi Router	TP-Link	TL-WR840N	v4	MediaTek MT7628N	1	580	8	64	5	-	b/g/n	-	-	Mod	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v10	Qualcomm Atheros QCA9533-BL3A	1	650	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v11	Qualcomm Atheros QCA9533	1	650	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	1.5	Atheros AR7130	1	300	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v3	Atheros AR9132	1	400	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR841N(D)	v7	Atheros AR7241	1	400	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v8	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v9	Qualcomm Atheros QCA9533-AL3A	1	550	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N(D)	v5	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR841N(D)	v12	Qualcomm Atheros QCA9533	1	650	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR841N	v13	MediaTek MT7628N	1	580	8	64	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR847N	v8	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR841N	v14	MediaTek MT7628NN	1	575	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR842ND	v1	Atheros AR7241	1	400	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR842ND	v2	Atheros AR9341	1	535	8	32	5	-	b/g/n	-	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR842N	v3	Qualcomm Atheros QCA9531	1	650	16	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR842N	v5	MediaTek MT7628NN	1	580	8	64	5	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	TP-Link	TL-WR843ND	v1	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	-	-	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR850N	v1	MediaTek MT7628N	1	580	8	64	5	-	b/g/n	-	-	-	Yes	9V 0.6A
WiFi Router	TP-Link	TL-WR850N	v2	MediaTek MT7628NN	1	575	8	64	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
Travel Router	TP-Link	TL-WR902AC	v1	Qualcomm Atheros QCA9531	1	650	8	64	1	-	b/g/n	a/n/ac	-	1x -USB (power)	Yes	5 VDC, 2.0 A
Travel Router	TP-Link	TL-WR902AC	v3	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	1x 2.0	Yes	5 VDC, 2.0 A (-USB)
WiFi Router	TP-Link	TL-WR940N	v4	Qualcomm Atheros TP9343	1	750	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR940N	v1	Atheros AR7240 rev 2	1	400	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR940N	v2	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	1x Header	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR940N	v3	Qualcomm Atheros TP9343	1	750	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR940N	v5	Qualcomm Atheros TP9343	1	750	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR940N	v6	Qualcomm Atheros TP9343	1	750	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR941ND	v5	Atheros AR9341	1	535	4	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	TL-WR941ND	v6	Qualcomm TP9343	1	750	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR941ND	v2	Atheros AR9132	1	400	4	32	5	-	b/g/n	-	-	1x Header	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	TL-WR941ND	v3.2	Atheros AR9132	1	400	4	32	5	-	b/g/n	-	-	1x Header	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR941ND	v3	Atheros AR9132	1	400	4	32	5	-	b/g/n	-	-	1x Header	Yes	9 VDC, 0.85 A
WiFi Router	TP-Link	TL-WR941ND	v4	Atheros AR7240	1	400	4	32	5	-	b/g/n	-	-	1x Header	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C20 AC750	v1	MediaTek MT7620A	1	580	8	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer C20 AC750	v4	MediaTek MT7628AN	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	9 VDC, 0.6 A
WiFi Router	TP-Link	Archer C2600	v1.1	Qualcomm Atheros IPQ8064	2	1400	32	512	-	5	b/g/n	a/n/ac	-	2x 3.0	No	12 VDC, 4.0 A
WiFi Router	TP-Link	Archer C58	v1	Qualcomm Atheros QCA9561	1	775	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	TP-Link	Archer VR2600	v1	Qualcomm IPQ8064	2	1400	16	512		5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 3.3 A
WiFi Router	TP-Link	Archer VR2600v	v1	Qualcomm IPQ8064	2	1400	16	512	-	5	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 3.3 A
WiFi Router	TP-Link	Archer VR900v	v1.0	Broadcom BCM63168, Broadcom BCM4709	2	1000	8	128	-	4	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 3.3 A
WiFi AP	TP-Link	EAP235-Wall	v1	MT7621DAT	2	880	16	128	-	4	b/g/n	a/n/ac	-	-	Yes	42-57 VDC, 0.6 A, PoE+ powered, PoE+ passthrough on port 3
WiFi AP	TP-Link	EAP245	v3	Qualcomm Atheros QCA9563	1	775	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	PoE 802.3af, PoE passive 48V
Range Extender	TP-Link	RE305	v1	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50-60 Hz, 0.3 A
Range Extender	TP-Link	RE350	v1	MediaTek MT7621A	2	880	8	64	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 50/60 Hz, 0.3 A
