devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi AP	Ubiquiti	UniFi nanoHD	NULL	MediaTek MT7621AT	2	880	32	128	-	1	b/g/n	a/n/ac	-	-	-	PoE 802.3af, max. 10.5W
Range Extender	TP-Link	RE210	v1	MediaTek MT7620A	1	-	8	64	-	1	b/g/n	a/n/ac	-	-	Yes	100-240 VAC, 0.3 A
WiFi Router	Teltonika	RUT230	NULL	Atheros AR9331	1	400	16	64	1	-	b/g/n	-	-	-	-	9-30 VDC, passive PoE
WiFi Router	ELECOM	WRC-2533gent	NULL	MediaTek MT7622	2	-	4096NAND	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC
Single Board Computer	Olimex	A64-OLinuXino	NULL	Allwinner A64	4	1200	more than 8GB eMMC	2048	-	1	b/g/n	-	4.0	1x OTG	Yes	5 VDC
WiFi Router	Buffalo	WSR-2533DHPL	NULL	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
Range Extender	COMFAST	CF-WR752AC	v1	Qualcomm Atheros QCA9531	1	650	16	128	1	-	b/g/n	a/n/ac	-	-	Yes	110-220 VAC, 0.05 A
Range Extender	NETGEAR	EX6120	NULL	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	100-250 VAC, 0.14 A
WiFi Router	8devices	Habanero DVK	NULL	Qualcomm IPQ4019	4	717	microSD	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC
WiFi AP	Luxul	XAP-1610	NULL	Broadcom BCM4709C0	2	1400	-	256	-	2	b/g/n	a/n/ac	-	-	-	PoE 802.3at
WiFi Router	Luxul	XWR-3150	NULL	-	-	-	-	-	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 3.0 A
Router	Luxul	ABR-4500	NULL	-	-	-	-	-	-	5	-	-	-	1x 3.0	-	100-240 VAC, 50/60 Hz, 0.3 A
Router	Luxul	XBR-4500	NULL	-	-	-	-	-	-	5	-	-	-	1x 3.0	-	100-240 VAC, 50/60 Hz, 0.3 A
other	Ubiquiti	EdgeSwitch 5XP (ES-5XP)	NULL	Atheros AR7242	1	400	8	64	1	5	-	-	-	1x 2.0	Yes	24 VDC, passive PoE
WiFi Router	ipTIME	A1004ns	NULL	MediaTek MT7620A	1	580	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Teltonika	RUT955 H7V3C0	NULL	Atheros AR9344	1	550	microSDHC	128	4	-	b/g/n	-	-	1x 2.0	Yes	9-30 VDC, passive PoE
WiFi Router	netis	WF2770	NULL	MediaTek MT7620A	1	580	16	64	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Linksys	EA7500	v2	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 2.5 A
WiFi AP	CreatComm	TA8K	NULL	Quad-core ARM Cortex-A7  710 MHz	4	710	32	256	-	2	b/g/n	a/n/ac	-	-	Yes	48V PoE+
WiFi AP	CreatComm	TA8KC	NULL	Quad-core ARM Cortex-A7  710 MHz	4	710	32	256	-	2	b/g/n	a/n/ac	-	-	-	48V PoE+
WiFi AP	CreatComm	TA8H	NULL	Qualcomm Atheros QCA9557	1	560	16	128	-	2	b/g/n	a/n/ac	-	-	-	48V PoE+
WiFi AP	CreatComm	TB2I	NULL	Qualcomm Atheros QCA9531	1	550	8	64	3	-	b/g/n	a/n	-	-	-	12 VDC, PoE+
	CreatComm	TB2Q	NULL	Qualcomm Atheros QCA9531	1	550	8	64	1	-	b/g/n	-	-	-	-	-
WiFi AP	CreatComm	TA2I	NULL	Qualcomm Atheros QCA9531	1	550	8	64	2	-	b/g/n	-	-	-	-	-
WiFi AP	Enterasys	WS-AP3705i	NULL	Atheros AR9344	1	560	32	128	-	1	b/g/n	a/n	-	-	Yes	PoE 802.3af
WiFi Router	ASUS	RT-N10P	v3	MediaTek MT7628NN	1	580	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N11P	B1	MediaTek MT7628NN	1	580	8	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 1.0 A
WiFi Router	ASUS	RT-N12 VP	B1	MediaTek MT7628NN	1	580	8	64	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
other	MikroTik	RBSXTsqG-5acD (SXTsq 5 ac)	NULL	Qualcomm Atheros IPQ4018	4	716	16	256	-	1	-	a/n/ac	-	-	-	10-28 VDC passive PoE
WiFi Router	Keenetic	KN-1210 (4G)	NULL	MediaTek MT7628NN	1	575	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC
WiFi Router	Keenetic	KN-1211 (4G)	NULL	MediaTek MT7628NN	1	575	32	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC
WiFi Router	Keenetic	KN-1110 (Start)	NULL	MediaTek MT7628NN	1	575	16	64	4	-	b/g/n	-	-	-	Yes	12 VDC
WiFi Router	Keenetic	KN-1111 (Start/Starter)	NULL	MediaTek MT7628NN	1	575	32	64	4	-	b/g/n	-	-	-	Yes	9 VDC, 0.6 A
WiFi Router	ELECOM	WRC-2533GST2	NULL	MediaTek MT7621A	2	880	32	256	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.5 A
Range Extender	TP-Link	RE220	v2	MediaTek MT7628AN	1	580	8	64	1	-	b/g/n	a/n/ac	-	-	Yes	-
Single Board Computer	NXP	P2020RDB	NULL	NXP P2020E	2	1200	SDHC	1024	-	6	-	-	-	1x 2.0	Yes	-
